JetBlue Report Created: 2018-12-26 11:51:37 -0500
,
Filter Criteria:,11/27/18 - 12/26/18
,Any Type
,Any Status
,
,"Scheduled","Split","Date","Payee","Category","Tags","Amount","Memo/Notes"
,,,"12/14/2018","Sephora","Gifts","Savings","-170.00",
,,,"12/14/2018","American Eagle Outfitters","Clothing","Savings","-113.85",
,,,"12/14/2018","American Eagle Outfitters","Clothing","Savings","-85.94",
,,,"12/14/2018","Hot Topic","Gifts","Savings","-16.63",
,,,"12/14/2018","Urban Outfitters","Clothing","Savings","-89.00",
,,,"12/13/2018","Columbia Sportswear","Clothing","Savings","-47.00",
,,,"12/13/2018","Eddie Bauer","Clothing","Savings","-82.08",
,,,"12/12/2018","Urban Outfitters","Clothing","Savings","-17.00",
,,,"12/12/2018","Fossil","Gifts","Savings","-25.50",
,,,"12/12/2018","Amtrak","Travel","Savings","-175.00",
,,,"12/12/2018","Levi's","Clothing","Savings","-39.99",
,,,"12/12/2018","Levi's","Clothing","Savings","-39.99",
,,,"12/12/2018","American Eagle Outfitters","Clothing","Savings","-113.38",
,,,"12/12/2018","Nike","Clothing","Savings","-139.46",
,,,"12/10/2018","Honey Pot Hill","Home Improvement","Savings","-64.50",
,,,"12/7/2018","Paper Store","Gifts","Savings","-49.91",
,,,"12/7/2018","ARTISANS WAY GALLERY","Gifts","Savings","-21.25",
,,,"12/5/2018","Paper Store","Gifts","Savings","-246.08",
,,,"12/4/2018","Paper Store","Gifts","Savings","-26.55",
,,,"12/3/2018","Dick's Sporting","Clothing","Savings","-88.00",
,,,"12/3/2018","Dr Martens E","Clothing","Savings","-125.00",
,,,"12/3/2018","Ticketmaster","Gifts","Savings","-21.15",
,,,"12/2/2018","NPS PRO SHOP","Gifts","Savings","-199.97",
,,,"12/2/2018","COUNTRY LIVING MAGAZIN","Magazines","Savings","-34.97",
,,,"11/29/2018","Free People","Gifts","Savings","-114.00",
,,,"11/28/2018","Dr Martens E","Clothing","Savings","-187.50",
,,,"12/14/2018","EROS GOURMET PIZZA","Dining","","-8.50",
,,,"12/14/2018","Wegman's","Groceries","","-70.94",
,,,"12/14/2018","Usps","Household","","-40.00",
,,,"12/14/2018","Amazon","Household","","-21.95",
,,,"12/14/2018","Amazon","Household","","-38.73",
,,,"12/13/2018","Amazon","Household","","-15.98",
,,,"12/13/2018","PINZ ENTERTAINMENT","Entertainment","","-10.00",
,,,"12/13/2018","Target","Household","","-72.43",
,,,"12/13/2018","Shaw's","Groceries","","-44.99",
,,,"12/13/2018","Amazon","Household","","-50.57",
,,,"12/13/2018","Exxon","Auto","","-35.77",
,,,"12/13/2018","Le Creuset Factory","Household","","-20.83",
,,,"12/12/2018","Shell","Gasoline","","-30.62",
,,,"12/11/2018","EROS GOURMET PIZZA","Dining","","-14.86",
,,,"12/11/2018","Itunes","Entertainment","","-9.99",
