MY SV Report Created: 2018-12-30 18:10:26 -0500,,,,,,,
,,,,,,,
Filter Criteria:,This Month,,,,,,
,Any Type,,,,,,
,Any Status,,,,,,
,,,,,,,
,Scheduled,Split,Date,Payee,Category,Amount,Balance
Balance:,,,,,,,74949.31
,,,12/14/18,Online Scheduled Transfer,Transfer,190,"75,139.31"
,,,12/13/18,External Transfer Fee,Transfer,-10,"74,949.31"
,,,12/12/18,Transfer Kathleen Owen,Transfer,"-1,130.00","74,959.31"
,,,12/7/18,Online Scheduled Transfer,Transfer,190,"76,089.31"
,,,12/5/18,Bank America Des,Uncategorized,39.74,"75,899.31"
,,,12/5/18,Fid Bkg Svc,Uncategorized,"-10,000.00","75,859.57"
,,,12/3/18,Online Scheduled Transfer,Transfer,610,"85,859.57"
Balance:,,,,,,,64839.05
,,,,,,,
Total Inflows:,,,,,,1029.74,
Total Outflows:,,,,,,-11140,
Net Total:,,,,,,,-10110.26
