Date, Payee, Amount, Home Maintenance, Home Improvement, Oil, AAA, Pool Care, Lawn Care, Vacation, Party, Babysitter, Kid Activities, Magazines, Car Insurance, Car Maintenance, Car Savings, Clothes, Gifts, Dan Swan's Taxes, Dan Life Insurance, Kathy Hair, Kathy Wardrobe, Kathy Life Insurance, Slush, Grammy, Water, 
2018-11-28 00:00:00, Dr Martens E, -187.5, 2570.46, 587.53, 1346.43, 48.96, 856.82, 538.57, 734.42, 391.69, 0.0, 1419.87, 48.96, 1395.39, 734.42, 0.0, 1770.94, 0.0, 0.0, 293.77, 0.0, 0.0, 122.4, 244.81, 0.0, 905.78, 
2018-11-29 00:00:00, Free People, -114.0, 2570.46, 587.53, 1346.43, 48.96, 856.82, 538.57, 734.42, 391.69, 0.0, 1419.87, 48.96, 1395.39, 734.42, 0.0, 1770.94, -114.0, 0.0, 293.77, 0.0, 0.0, 122.4, 244.81, 0.0, 905.78, 
2018-12-02 00:00:00, NPS PRO SHOP, -199.97, 2570.46, 587.53, 1346.43, 48.96, 856.82, 538.57, 734.42, 391.69, 0.0, 1419.87, 48.96, 1395.39, 734.42, 0.0, 1770.94, -313.97, 0.0, 293.77, 0.0, 0.0, 122.4, 244.81, 0.0, 905.78, 
2018-12-02 00:00:01, COUNTRY LIVING MAGAZIN, -34.97, 2570.46, 587.53, 1346.43, 48.96, 856.82, 538.57, 734.42, 391.69, 0.0, 1419.87, 13.99, 1395.39, 734.42, 0.0, 1770.94, -313.97, 0.0, 293.77, 0.0, 0.0, 122.4, 244.81, 0.0, 905.78, 
2018-12-03 00:00:00, Dick's Sporting, -88.0, 2570.46, 587.53, 1346.43, 48.96, 856.82, 538.57, 734.42, 391.69, 0.0, 1419.87, 13.99, 1395.39, 734.42, 0.0, 1682.94, -313.97, 0.0, 293.77, 0.0, 0.0, 122.4, 244.81, 0.0, 905.78, 
2018-12-03 00:00:01, Dr Martens E, -125.0, 2570.46, 587.53, 1346.43, 48.96, 856.82, 538.57, 734.42, 391.69, 0.0, 1419.87, 13.99, 1395.39, 734.42, 0.0, 1557.94, -313.97, 0.0, 293.77, 0.0, 0.0, 122.4, 244.81, 0.0, 905.78, 
2018-12-03 00:00:02, Ticketmaster, -21.15, 2570.46, 587.53, 1346.43, 48.96, 856.82, 538.57, 734.42, 391.69, 0.0, 1419.87, 13.99, 1395.39, 734.42, 0.0, 1557.94, -335.12, 0.0, 293.77, 0.0, 0.0, 122.4, 244.81, 0.0, 905.78, 
2018-12-04 00:00:00, Paper Store, -26.55, 2570.46, 587.53, 1346.43, 48.96, 856.82, 538.57, 734.42, 391.69, 0.0, 1419.87, 13.99, 1395.39, 734.42, 0.0, 1557.94, -361.67, 0.0, 293.77, 0.0, 0.0, 122.4, 244.81, 0.0, 905.78, 
2018-12-05 00:00:00, Paper Store, -246.08, 2570.46, 587.53, 1346.43, 48.96, 856.82, 538.57, 734.42, 391.69, 0.0, 1419.87, 13.99, 1395.39, 734.42, 0.0, 1557.94, -607.75, 0.0, 293.77, 0.0, 0.0, 122.4, 244.81, 0.0, 905.78, 
2018-12-07 00:00:00, Paper Store, -49.91, 2570.46, 587.53, 1346.43, 48.96, 856.82, 538.57, 734.42, 391.69, 0.0, 1419.87, 13.99, 1395.39, 734.42, 0.0, 1557.94, -657.66, 0.0, 293.77, 0.0, 0.0, 122.4, 244.81, 0.0, 905.78, 
